Statement,Emotion,Valence,Category,Body part
"Thinking that your behavior, thoughts, or feelings are silly or stupid.",Shame,Negative,Interpretations of events,
Being rejected by people you care about.,Shame,Negative,Prompting events,
Having others find out that you have done something wrong.,Shame,Negative,Prompting events,
Doing (or feeling or thinking) something that people you admire believe is wrong or immoral.,Shame,Negative,Prompting events,
Comparing some aspect of yourself or your behavior to a standard and feeling as if you do not live up to that standard.,Shame,Negative,Prompting events,
Being betrayed by a person you love.,Shame,Negative,Prompting events,
Being laughed at/made fun of.,Shame,Negative,Prompting events,
Being criticized in public/in front of someone else; remembering public criticism.,Shame,Negative,Prompting events,
"Being reminded of something wrong, immoral, or “shameful” you did in the past.",Shame,Negative,Prompting events,
Being rejected or criticized for something you expected praise for.,Shame,Negative,Prompting events,
Having emotions/experiences that have been invalidated.,Shame,Negative,Prompting events,
Exposure of a very private aspect of yourself or your life.,Shame,Negative,Prompting events,
Exposure of a physical characteristic you dislike.,Shame,Negative,Prompting events,
Failing at something you feel you are (or should be) competent to do.,Shame,Negative,Prompting events,
Others attacking your integrity.,Shame,Negative,Prompting events,
